rank,title,BGG_rating,avg_rating,list_price,amazon_price,year,game_id,min_players,max_players,playing_time_min,mechanics,Action Drafting,Action Points,Action Queue,Action Retrieval,Action/Event,Advantage Token,Alliances,Area Majority / Influence,Area Movement,Area-Impulse,Auction/Bidding,Auction: Dutch,Automatic Resource Growth,Campaign / Battle Card Driven,Card Play Conflict Resolution,Closed Drafting,Communication Limits,Contracts,Cooperative Game,Critical Hits and Failures,Deck Construction,"Deck, Bag, and Pool Building",Delayed Purchase,Dice Rolling,Die Icon Resolution,Enclosure,End Game Bonuses,Events,Follow,Force Commitment,Grid Coverage,Grid Movement,Hand Management,Hexagon Grid,Hidden Movement,Hidden Roles,Hidden Victory Points,Income,Increase Value of Unchosen Resources,Interrupts,Investment,King of the Hill,Layering,Legacy Game,Line of Sight,Loans,Map Addition,Market,Modular Board,Movement Points,Multi-Use Cards,Narrative Choice / Paragraph,Network and Route Building,Once-Per-Game Abilities,Open Drafting,Ownership,Passed Action Token,Pattern Building,Pick-up and Deliver,Player Elimination,Point to Point Movement,Push Your Luck,Race,Role Playing,Scenario / Mission / Campaign Game,Semi-Cooperative Game,Set Collection,Simulation,Simultaneous Action Selection,Solo / Solitaire Game,Sudden Death Ending,Tags,Take That,Team-Based Game,Tech Trees / Tech Tracks,Tile Placement,Track Movement,Trading,Traitor Game,Tug of War,Turn Order: Pass Order,Turn Order: Progressive,Turn Order: Stat-Based,Variable Phase Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource,Voting,Worker Placement,"Worker Placement, Different Worker Types",Zone of Control
1,Brass: Birmingham,8.422,8.61,,79.95,2018,224517,2,4,120,"['Hand Management', 'Income', 'Loans', 'Market', 'Network and Route Building', 'Tags', 'Tech Trees / Tech Tracks', 'Turn Order: Stat-Based', 'Variable Set-up']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2,Pandemic Legacy: Season 1,8.387,8.53,,70.0,2015,161936,2,4,60,"['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Gloomhaven,8.375,8.61,,248.99,2017,174430,1,4,120,"['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']",0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Ark Nova,8.319,8.53,74.95,58.99,2021,342942,1,4,150,"['End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Increase Value of Unchosen Resources', 'Open Drafting', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Tile Placement', 'Variable Player Powers', 'Variable Set-up']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
5,Twilight Imperium: Fourth Edition,8.241,8.61,131.99,116.16,2017,233078,3,6,480,"['Action Drafting', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
6,Terraforming Mars,8.223,8.37,79.99,62.85,2016,167791,1,5,120,"['Closed Drafting', 'Contracts', 'Enclosure', 'End Game Bonuses', 'Hand Management', 'Hexagon Grid', 'Income', 'Set Collection', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers', 'Variable Set-up', 'Victory Points as a Resource']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
7,Dune: Imperium,8.205,8.42,54.75,51.43,2020,316554,1,4,120,"['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Force Commitment', 'Increase Value of Unchosen Resources', 'Multi-Use Cards', 'Open Drafting', 'Race', 'Solo / Solitaire Game', 'Tags', 'Take That', 'Turn Order: Progressive', 'Variable Player Powers', 'Worker Placement']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
8,Gloomhaven: Jaws of the Lion,8.191,8.47,49.99,36.86,2020,291457,1,4,120,"['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']",0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,War of the Ring: Second Edition,8.179,8.53,89.99,79.61,2011,115746,2,4,180,"['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Movement Points', 'Simulation', 'Team-Based Game', 'Variable Set-up']",1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,Star Wars: Rebellion,8.17,8.42,,,2016,187645,2,4,240,"['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']",0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
