rank,title,BGG_rating,avg_rating,list_price,amazon_price,year
1,Brass: Birmingham,8.422,8.61,,79.99,2018
2,Pandemic Legacy: Season 1,8.387,8.53,,70.0,2015
3,Gloomhaven,8.375,8.61,,248.99,2017
4,Ark Nova,8.319,8.53,,58.99,2021
5,Twilight Imperium: Fourth Edition,8.241,8.61,,116.16,2017
6,Terraforming Mars,8.223,8.37,,62.85,2016
7,Dune: Imperium,8.205,8.42,,51.43,2020
8,Gloomhaven: Jaws of the Lion,8.191,8.47,,36.86,2020
9,War of the Ring: Second Edition,8.179,8.53,,79.81,2011
10,Star Wars: Rebellion,8.17,8.42,,,2016
11,Spirit Island,8.15,8.35,,72.1,2017
12,Gaia Project,8.131,8.4,,83.99,2017
13,Twilight Struggle,8.077,8.25,,54.53,2005
14,Through the Ages: A New Story of Civilization,8.075,8.3,,69.95,2015
15,Great Western Trail,8.051,8.22,,65.95,2016
16,The Castles of Burgundy,8.008,8.13,,49.99,2011
17,Scythe,8.007,8.16,,67.33,2016
18,7 Wonders Duel,7.972,8.1,,21.99,2015
19,Eclipse: Second Dawn for the Galaxy,7.969,8.48,,157.75,2020
20,Brass: Lancashire,7.964,8.19,,76.99,2007
21,Nemesis,7.959,8.28,,193.0,2018
22,Concordia,7.949,8.1,,54.66,2013
23,A Feast for Odin,7.949,8.18,,99.99,2016
24,Clank! Legacy: Acquisitions Incorporated,7.947,8.56,,89.99,2019
25,Wingspan,7.916,8.06,,44.99,2019
26,Terra Mystica,7.912,8.08,,59.97,2012
27,Arkham Horror: The Card Game,7.907,8.14,,23.88,2016
28,Lost Ruins of Arnak,7.894,8.08,,39.99,2020
29,Root,7.884,8.08,,49.99,2018
30,Great Western Trail: Second Edition,7.88,8.38,,50.0,2021
31,Orléans,7.876,8.06,,54.28,2014
32,Everdell,7.859,8.04,,60.0,2018
33,Mage Knight Board Game,7.859,8.09,,61.59,2011
34,Viticulture Essential Edition,7.851,8.0,,48.63,2015
35,Barrage,7.849,8.18,,,2019
36,The Crew: Mission Deep Sea,7.846,8.2,,14.99,2021
