rank,title,BGG_rating,avg_rating,list_price,amazon_price,year,game_id
1,Brass: Birmingham,8.422,8.61,,79.95,2018,224517
2,Pandemic Legacy: Season 1,8.387,8.53,,70.0,2015,161936
3,Gloomhaven,8.375,8.61,,248.99,2017,174430
4,Ark Nova,8.319,8.53,74.95,58.99,2021,342942
5,Twilight Imperium: Fourth Edition,8.241,8.61,131.99,116.16,2017,233078
6,Terraforming Mars,8.223,8.37,79.99,62.85,2016,167791
7,Dune: Imperium,8.205,8.42,54.75,51.43,2020,316554
8,Gloomhaven: Jaws of the Lion,8.191,8.47,49.99,36.86,2020,291457
9,War of the Ring: Second Edition,8.179,8.53,89.99,79.61,2011,115746
10,Star Wars: Rebellion,8.17,8.42,,,2016,187645
11,Spirit Island,8.15,8.35,89.99,72.1,2017,162886
12,Gaia Project,8.131,8.4,99.95,83.99,2017,220308
13,Twilight Struggle,8.077,8.25,64.99,54.64,2005,12333
14,Through the Ages: A New Story of Civilization,8.075,8.3,,69.95,2015,182028
15,Great Western Trail,8.051,8.22,,65.95,2016,193738
16,The Castles of Burgundy,8.008,8.13,,49.99,2011,84876
17,Scythe,8.007,8.16,79.99,67.33,2016,169786
18,7 Wonders Duel,7.972,8.1,29.99,21.99,2015,173346
19,Eclipse: Second Dawn for the Galaxy,7.969,8.48,,171.7,2020,246900
20,Brass: Lancashire,7.964,8.19,,76.99,2007,28720
21,Nemesis,7.959,8.28,,193.0,2018,167355
22,Concordia,7.949,8.1,64.99,54.82,2013,124361
23,A Feast for Odin,7.949,8.18,,99.99,2016,177736
24,Clank! Legacy: Acquisitions Incorporated,7.947,8.56,109.99,89.99,2019,266507
25,Wingspan,7.916,8.06,65.0,44.99,2019,266192
26,Terra Mystica,7.912,8.08,79.99,59.97,2012,120677
27,Arkham Horror: The Card Game,7.907,8.14,44.95,23.88,2016,205637
28,Lost Ruins of Arnak,7.894,8.08,59.95,39.99,2020,312484
29,Root,7.884,8.08,60.0,49.99,2018,237182
30,Great Western Trail: Second Edition,7.88,8.38,55.99,50.0,2021,341169
31,Orléans,7.876,8.06,59.95,54.28,2014,164928
32,Everdell,7.859,8.04,,60.0,2018,199792
33,Mage Knight Board Game,7.859,8.09,,77.99,2011,96848
34,Viticulture Essential Edition,7.851,8.0,,48.63,2015,183394
35,Barrage,7.849,8.18,,,2019,251247
36,The Crew: Mission Deep Sea,7.846,8.2,,14.99,2021,324856
37,Too Many Bones,7.835,8.35,,,2017,192135
38,Food Chain Magnate,7.815,8.08,139.99,104.0,2015,175914
39,Pax Pamir: Second Edition,7.801,8.23,89.45,75.95,2019,256960
40,Marvel Champions: The Card Game,7.798,8.13,55.99,41.99,2019,285774
41,Underwater Cities,7.791,8.07,74.95,60.12,2018,247763
42,Puerto Rico,7.788,7.93,,124.94,2002,3076
43,Caverna: The Cave Farmers,7.775,7.96,,67.6,2013,102794
44,Blood Rage,7.768,7.94,,89.99,2015,170216
45,Cascadia,7.765,7.97,39.99,31.95,2021,295947
46,Frosthaven,7.761,8.86,250.0,214.95,2022,295770
47,Anachrony,7.761,8.08,,,2017,185343
48,On Mars,7.76,8.21,124.99,112.49,2020,184267
49,Agricola,7.76,7.88,,62.65,2007,31260
50,Crokinole,7.747,8.02,,170.0,1876,521
51,Pandemic Legacy: Season 0,7.738,8.42,79.99,69.9,2020,314040
52,Sleeping Gods,7.738,8.27,99.99,94.28,2021,255984
53,Kanban EV,7.735,8.44,,124.99,2020,284378
54,Pandemic Legacy: Season 2,7.735,8.04,79.99,53.99,2017,221107
55,Heat: Pedal to the Metal,7.727,8.11,74.99,66.99,2022,366013
56,Mansions of Madness: Second Edition,7.725,7.96,109.99,89.99,2016,205059
57,Maracaibo,7.723,8.05,74.95,64.26,2019,276025
58,Lisboa,7.72,8.2,,126.95,2017,161533
59,Tzolk'in: The Mayan Calendar,7.712,7.87,,59.95,2012,126163
60,Power Grid,7.709,7.82,44.95,39.75,2004,2651
61,Clans of Caledonia,7.69,7.95,,,2017,216132
62,The Quacks of Quedlinburg,7.69,7.83,49.99,39.99,2018,244521
63,Le Havre,7.686,7.85,,,2008,35677
64,Paladins of the West Kingdom,7.686,7.99,60.0,51.14,2019,266810
65,The Crew: The Quest for Planet Nine,7.684,7.83,,14.99,2019,284083
66,Star Wars: Imperial Assault,7.682,7.97,109.99,104.38,2014,164153
67,The Gallerist,7.682,8.03,,128.0,2015,125153
68,Mechs vs. Minions,7.672,7.98,,,2016,209010
69,Grand Austria Hotel,7.671,7.93,,64.99,2015,182874
70,Cthulhu: Death May Die,7.666,8.17,109.99,87.99,2019,253344
71,Android: Netrunner,7.66,7.88,,199.95,2012,124742
72,Kingdom Death: Monster,7.66,8.51,,849.0,2015,55690
73,Azul,7.647,7.76,39.99,21.7,2017,230802
74,Race for the Galaxy,7.634,7.75,,27.43,2007,28143
75,Agricola (Revised Edition),7.633,7.96,,62.65,2016,200680
76,Eclipse: New Dawn for the Galaxy,7.629,7.84,,,2011,72125
77,Five Tribes,7.629,7.78,,,2014,157354
78,Aeon's End,7.628,7.92,,52.94,2016,191189
79,Clank!: A Deck-Building Adventure,7.626,7.79,65.0,49.99,2016,201808
80,Obsession,7.617,8.15,,,2018,231733
81,Fields of Arle,7.609,8.03,,,2014,159675
82,Through the Ages: A Story of Civilization,7.608,7.85,,99.99,2006,25613
83,Teotihuacan: City of Gods,7.607,7.87,,49.95,2018,229853
84,Beyond the Sun,7.603,7.95,,63.99,2020,317985
85,Lords of Waterdeep,7.596,7.73,49.99,30.99,2012,110327
86,The Voyages of Marco Polo,7.59,7.79,,,2015,171623
87,Dominant Species,7.589,7.82,73.23,69.5,2010,62219
88,Robinson Crusoe: Adventures on the Cursed Island,7.587,7.76,,51.5,2012,121921
89,7 Wonders,7.584,7.69,59.99,40.0,2010,68448
90,The Search for Planet X,7.566,7.99,44.99,40.12,2020,279537
91,Tainted Grail: The Fall of Avalon,7.562,8.12,133.27,123.94,2019,264220
92,El Grande,7.554,7.73,,,1995,93
93,Architects of the West Kingdom,7.55,7.75,,50.15,2018,236457
94,The 7th Continent,7.547,7.85,,,2017,180263
95,Battlestar Galactica: The Board Game,7.544,7.73,,,2008,37111
96,Inis,7.536,7.83,,72.79,2016,155821
97,Keyflower,7.535,7.73,,103.12,2012,122515
98,Decrypto,7.535,7.77,27.99,24.99,2018,225694
99,Raiders of the North Sea,7.53,7.75,60.0,47.94,2015,170042
100,Caylus,7.529,7.72,,124.99,2005,18602
101,Trickerion: Legends of Illusion,7.528,7.97,70.0,62.56,2015,163068
102,Dominion: Intrigue,7.524,7.69,39.95,28.99,2009,40834
103,Mombasa,7.523,7.85,,,2015,172386
104,Tigris & Euphrates,7.523,7.7,,,1997,42
105,Lorenzo il Magnifico,7.521,7.85,59.99,49.95,2016,203993
106,Troyes,7.52,7.72,,49.99,2010,73439
107,Eldritch Horror,7.519,7.76,55.99,50.39,2013,146021
108,The Lord of the Rings: Journeys in Middle-Earth,7.514,7.93,109.99,99.0,2019,269385
109,Twilight Imperium: Third Edition,7.507,7.8,,178.95,2005,12493
110,Concordia Venus,7.506,8.29,79.95,61.42,2018,256916
111,Russian Railroads,7.499,7.74,,229.99,2013,144733
112,Patchwork,7.497,7.6,,27.99,2014,163412
113,Trajan,7.492,7.75,,,2011,102680
114,Carnegie,7.488,8.04,,60.95,2022,310873
115,Rising Sun,7.486,7.78,,99.99,2018,205896
116,Aeon's End: War Eternal,7.483,8.29,,38.62,2017,218417
117,Dominion,7.482,7.6,49.99,38.07,2008,36218
118,Vinhos: Deluxe Edition,7.471,8.11,,98.99,2016,175640
119,Dwellings of Eldervale,7.471,8.2,,,2020,271055
120,Age of Steam,7.47,7.84,,,2002,4098
121,The Isle of Cats,7.468,7.73,50.0,34.99,2019,281259
122,Clank! In! Space!: A Deck-Building Adventure,7.468,7.8,65.0,55.78,2017,233371
123,The Quest for El Dorado,7.465,7.67,,39.99,2017,217372
124,Pandemic: Iberia,7.464,7.89,,44.75,2016,198928
125,Hansa Teutonica,7.464,7.73,,49.99,2009,43015
126,Codenames,7.459,7.55,24.99,12.39,2015,178900
127,Yokohama,7.458,7.82,,,2016,196340
128,Forbidden Stars,7.458,7.98,,,2015,175155
129,Champions of Midgard,7.456,7.73,59.99,54.99,2015,172287
130,Roll for the Galaxy,7.45,7.6,59.99,51.07,2014,132531
131,PARKS,7.449,7.68,,49.99,2019,266524
132,Cartographers,7.444,7.63,24.95,18.74,2019,263918
133,Oathsworn: Into the Deepwood,7.442,9.09,,649.99,2022,251661
134,Pandemic,7.439,7.54,39.99,29.99,2008,30549
135,Res Arcana,7.434,7.67,39.99,31.98,2019,262712
136,Targi,7.429,7.62,,19.95,2012,118048
137,Watergate,7.425,7.79,34.95,28.99,2019,274364
138,Alchemists,7.424,7.65,,59.95,2014,161970
139,Rajas of the Ganges,7.423,7.73,,45.45,2017,220877
140,Just One,7.422,7.6,24.99,16.61,2018,254640
141,Star Realms,7.421,7.56,,14.99,2014,147020
142,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.421,7.65,,57.99,1982,2511
143,Kemet,7.421,7.66,,,2012,127023
144,It's a Wonderful World,7.42,7.7,49.99,44.77,2019,271324
145,Praga Caput Regni,7.419,7.94,74.95,54.23,2020,308765
146,Endeavor: Age of Sail,7.418,7.9,,127.93,2018,233398
147,Ra,7.415,7.58,,49.99,1999,12
148,SCOUT,7.415,7.8,,23.0,2019,291453
149,Hadrian's Wall,7.413,8.02,60.0,52.43,2021,304783
150,Stone Age,7.41,7.53,54.99,49.95,2008,34635
151,Legendary Encounters: An Alien Deck Building Game,7.409,7.76,,,2014,146652
152,Ticket to Ride: Europe,7.408,7.53,49.99,34.5,2005,14996
153,Terraforming Mars: Ares Expedition,7.403,7.7,49.99,33.94,2021,328871
154,The Lord of the Rings: The Card Game,7.401,7.66,58.96,39.49,2011,77423
155,Marco Polo II: In the Service of the Khan,7.4,7.98,,,2019,283948
156,Star Wars: X-Wing Miniatures Game,7.399,7.64,,49.95,2012,103885
157,Magic: The Gathering,7.397,7.57,,76.99,1993,463
158,Viscounts of the West Kingdom,7.396,7.87,,59.95,2020,296151
159,Tyrants of the Underdark,7.394,7.91,50.0,37.5,2016,189932
160,Istanbul,7.394,7.55,,77.0,2014,148949
161,Glen More II: Chronicles,7.393,7.92,,84.99,2019,265188
162,Undaunted: Normandy,7.391,7.81,,48.0,2019,268864
163,Xia: Legends of a Drift System,7.39,7.87,,,2014,82222
164,That's Pretty Clever!,7.39,7.58,24.99,20.99,2018,244522
165,Welcome To...,7.39,7.55,,34.95,2018,233867
166,War Chest,7.384,7.87,49.99,46.31,2018,249259
167,Splendor Duel,7.376,7.98,,29.99,2022,364073
168,Jaipur,7.376,7.49,24.99,19.99,2009,54043
169,Chaos in the Old World,7.373,7.66,,,2009,43111
170,Radlands,7.373,7.9,,49.99,2021,329082
171,War of the Ring,7.37,7.77,89.99,79.69,2004,9609
172,Dominion (Second Edition),7.365,7.85,49.99,38.07,2016,209418
173,Descent: Journeys in the Dark (Second Edition),7.359,7.62,,199.95,2012,104162
174,This War of Mine: The Board Game,7.358,7.78,,69.94,2017,188920
175,Azul: Summer Pavilion,7.356,7.65,39.99,35.61,2019,287954
176,Memoir '44,7.354,7.54,,,2004,10630
177,Nemesis: Lockdown,7.353,8.38,190.0,148.17,2022,310100
178,Unmatched: Cobble & Fog,7.353,8.01,,39.95,2020,294484
179,Final Girl,7.351,8.36,,20.05,2021,277659
180,Horrified,7.349,7.67,,39.99,2019,282524
181,Cosmic Encounter,7.346,7.53,69.99,55.99,2008,39463
182,Too Many Bones: Undertow,7.345,8.69,119.99,99.95,2018,235802
183,Railways of the World,7.344,7.67,,149.99,2005,17133
184,Wingspan Asia,7.341,8.36,,43.95,2022,366161
185,Castles of Mad King Ludwig,7.34,7.52,,49.99,2014,155426
186,The Resistance: Avalon,7.339,7.52,24.99,19.99,2012,128882
187,Sagrada,7.338,7.48,,44.95,2017,199561
188,Sekigahara: The Unification of Japan,7.337,8.0,,68.01,2011,25021
189,Dune,7.333,7.96,,54.3,2019,283355
190,The Red Cathedral,7.333,7.74,39.99,33.63,2020,227224
191,Ora et Labora,7.332,7.69,,69.99,2011,70149
192,A Game of Thrones: The Board Game (Second Edition),7.328,7.54,64.95,51.96,2011,103343
193,Ticket to Ride: Nordic Countries,7.327,7.63,,94.99,2007,31627
194,Revive,7.321,8.18,,,2022,332772
195,Star Wars: Outer Rim,7.321,7.73,,60.99,2019,271896
196,Dead of Winter: A Crossroads Game,7.32,7.48,59.95,37.99,2014,150376
197,Commands & Colors: Ancients,7.319,7.77,64.99,55.39,2006,14105
198,Suburbia,7.319,7.48,,69.95,2012,123260
199,Captain Sonar,7.316,7.52,69.0,64.44,2016,171131
200,Space Base,7.316,7.55,44.99,36.01,2018,242302
201,Go,7.313,7.65,30.99,29.44,-2200,188
202,Meadow,7.313,7.77,,43.99,2021,314491
203,Village,7.313,7.5,,159.99,2011,104006
204,Earth,7.31,7.75,49.99,39.8,2023,350184
205,Paleo,7.307,7.72,,63.99,2020,300531
206,Clank!: Catacombs,7.306,8.33,,54.95,2022,365717
207,Welcome to the Moon,7.304,8.01,,45.95,2021,339789
208,Splendor,7.302,7.42,44.99,22.61,2014,148228
209,Tichu,7.3,7.58,,12.68,1991,215
210,Modern Art,7.299,7.49,,,1992,118
211,Star Realms: Colony Wars,7.298,7.81,,17.95,2015,182631
212,Carcassonne,7.297,7.41,34.99,22.67,2000,822
213,Coimbra,7.297,7.63,,47.37,2018,245638
214,Near and Far,7.295,7.69,,59.6,2017,195421
215,Planet Unknown,7.295,7.94,,129.99,2022,258779
216,Combat Commander: Europe,7.295,7.95,,,2006,21050
217,Dinosaur Island,7.295,7.59,59.95,49.99,2017,221194
218,Ankh: Gods of Egypt,7.294,7.83,69.97,65.3,2021,285967
219,Under Falling Skies,7.293,7.69,,28.75,2020,306735
220,Nations,7.293,7.61,,115.99,2013,126042
